database	table	name	type	is_nullable	default_expression	is_in_partition_key	is_in_sorting_key	is_in_primary_key	is_in_sampling_key	compression_codec
entities	payment_systems	ps_id	UInt8	0		1	1	1		
entities	payment_systems	ps_name	String	0						
entities	payment_systems	ps_payment_period	UInt8	0						LZ4HC
entities	payment_systems	ps_admin_type	UInt8	0						
entities	payment_systems	ps_type	UInt8	0					1	Default
entities	payment_systems	ps_active	UInt8	0	0		1		0	
entities	payment_systems	ps_default	UInt8	0	0					LZ4
entities	payment_systems	ps_mask_virtual_currency	UInt8	0	0		1	1		
entities	payment_systems	ps_accounting_parent_id	UInt8	0			1		1	
entities	payment_systems	ps_risky	UInt8	0	0					Default
entities	payment_systems	ps_third_party	UInt8	0	0				0	
entities	payment_systems	ps_api_details	UInt8	0	0					
entities	payment_systems	ps_expand_countries	UInt8	1	0			1		
entities	payment_systems	ps_fee_resolve_strategy	"Enum('only_ps' = 1, 'ps_and_country' = 2, 'ps_and_currency' = 3)"	0	only_ps		1			
entities	payment_systems	ps_collect_fee_on_chargeback	"Enum('full' = 1, 'percent_only' = 2, 'none' = 3)"	0	full					Default
entities	payment_systems	ps_collect_fee_on_refund	"Enum('full' = 1, 'percent_only' = 2, 'none' = 3)"	0	full				1	
entities	payment_systems	ps_collect_fee_on_reversal	"Enum('full' = 1, 'percent_only' = 2, 'none' = 3)"	0	full		1		1	
entities	payment_systems	ps_collect_fee_on_reversal_cancellation	"Enum('full' = 1, 'percent_only' = 2, 'none' = 3)"	0	none					
entities	payment_systems	ps_good_rates	UInt8	1					1	
entities	payment_systems	ps_parent_name	UInt8	1					1	LZ4
entities	payment_systems	ps_mint_refundable	UInt8	0	0					
entities	payment_systems	ps_non_chargebackable	UInt8	0	0					Default
entities	payment_systems	ps_visible_to_merchant	UInt8	0	0					
entities	payment_systems	ps_onboarding_required	UInt8	0	0					LZ4HC
entities	payment_systems	pm_id	UInt8	1	0	1				
data-modeling	clicks	click_id	Int32				1	1		Default
data-modeling	clicks	user_id	Int32							
data-modeling	clicks	ps_id	Int32				1			
data-modeling	clicks	widget_session_id	Int32							
data-modeling	clicks	widget_id	Int32							Default
data-modeling	clicks	project_Id	Int32							
data-modeling	clicks	time_created	DateTime			1				
data-modeling	clicks	time_tracked	DateTime	1		1				
data-modeling	clicks	co_id	Int32				1			Default
data-modeling	clicks	external_click_id	String	1						
data-modeling	clicks	recurring_id	Int32						1	
data-modeling	clicks	ps_acc_id	Int32						0	
data-modeling	clicks	promo_Id	Int32	1						
data-modeling	clicks	pss_id	Int32	1						
data-modeling	clicks	product_id	Int32						1	
data-modeling	clicks	click_ip_address	Int32	1						Default
data-modeling	clicks	umi_Id	String						0	
data-modeling	clicks	cu_id	Int32							
data-modeling	clicks	paid_cu_id	Int32	1			1			
data-modeling	clicks	display_amount	Float32	1			0			
data-modeling	clicks	paid_amount	Float32	1						
data-modeling	clicks	paid_amount_usd	Float32	1						
data-modeling	clicks	merchant_revenue	Float32	1			1			
data-modeling	clicks	merchant_revenue_usd	Float32	1						
data-modeling	clicks	rolling_reserve	Float32	1			0			
data-modeling	clicks	rolling_reserve_usd	Float32	1						
data-modeling	clicks	ps_fee	Float32	1						
data-modeling	clicks	ps_fee_usd	Float32	1						
data-modeling	clicks	revenue	Float32	1						LZ4HC
data-modeling	clicks	revenue_usd	Float32	1						
