database,table,name,type,position,default_kind,default_expression,data_compressed_bytes,data_uncompressed_bytes,marks_bytes,comment,is_in_partition_key,is_in_sorting_key,is_in_primary_key,is_in_sampling_key,compression_codec
system,aggregate_function_combinators,name,String,1,,,0,0,0,,0,0,0,0,
system,aggregate_function_combinators,is_internal,UInt8,2,,,0,0,0,,0,0,0,0,
system,asynchronous_metric_log,event_date,Date,1,,,2599,573920,888,,1,1,1,0,
system,asynchronous_metric_log,event_time,DateTime,2,,,38240,1147840,888,,0,1,1,0,
system,asynchronous_metric_log,name,String,3,,,45491,6298772,888,,0,0,0,0,
system,asynchronous_metric_log,value,Float64,4,,,522001,2295680,888,,0,0,0,0,
system,asynchronous_metrics,metric,String,1,,,0,0,0,,0,0,0,0,
system,asynchronous_metrics,value,Float64,2,,,0,0,0,,0,0,0,0,
system,build_options,name,String,1,,,0,0,0,,0,0,0,0,
system,build_options,value,String,2,,,0,0,0,,0,0,0,0,
system,clusters,cluster,String,1,,,0,0,0,,0,0,0,0,
system,clusters,shard_num,UInt32,2,,,0,0,0,,0,0,0,0,
system,clusters,shard_weight,UInt32,3,,,0,0,0,,0,0,0,0,
system,clusters,replica_num,UInt32,4,,,0,0,0,,0,0,0,0,
system,clusters,host_name,String,5,,,0,0,0,,0,0,0,0,
system,clusters,host_address,String,6,,,0,0,0,,0,0,0,0,
system,clusters,port,UInt16,7,,,0,0,0,,0,0,0,0,
system,clusters,is_local,UInt8,8,,,0,0,0,,0,0,0,0,
system,clusters,user,String,9,,,0,0,0,,0,0,0,0,
system,clusters,default_database,String,10,,,0,0,0,,0,0,0,0,
system,clusters,errors_count,UInt32,11,,,0,0,0,,0,0,0,0,
system,clusters,estimated_recovery_time,UInt32,12,,,0,0,0,,0,0,0,0,
system,collations,name,String,1,,,0,0,0,,0,0,0,0,
system,collations,language,Nullable(String),2,,,0,0,0,,0,0,0,0,
system,columns,database,String,1,,,0,0,0,,0,0,0,0,
system,columns,table,String,2,,,0,0,0,,0,0,0,0,
system,columns,name,String,3,,,0,0,0,,0,0,0,0,
system,columns,type,String,4,,,0,0,0,,0,0,0,0,
system,columns,position,UInt64,5,,,0,0,0,,0,0,0,0,
system,columns,default_kind,String,6,,,0,0,0,,0,0,0,0,
system,columns,default_expression,String,7,,,0,0,0,,0,0,0,0,
system,columns,data_compressed_bytes,UInt64,8,,,0,0,0,,0,0,0,0,
system,columns,data_uncompressed_bytes,UInt64,9,,,0,0,0,,0,0,0,0,
system,columns,marks_bytes,UInt64,10,,,0,0,0,,0,0,0,0,
system,columns,comment,String,11,,,0,0,0,,0,0,0,0,
system,columns,is_in_partition_key,UInt8,12,,,0,0,0,,0,0,0,0,
system,columns,is_in_sorting_key,UInt8,13,,,0,0,0,,0,0,0,0,
system,columns,is_in_primary_key,UInt8,14,,,0,0,0,,0,0,0,0,
system,columns,is_in_sampling_key,UInt8,15,,,0,0,0,,0,0,0,0,
system,columns,compression_codec,String,16,,,0,0,0,,0,0,0,0,
system,contributors,name,String,1,,,0,0,0,,0,0,0,0,
system,current_roles,role_name,String,1,,,0,0,0,,0,0,0,0,
system,current_roles,with_admin_option,UInt8,2,,,0,0,0,,0,0,0,0,
system,current_roles,is_default,UInt8,3,,,0,0,0,,0,0,0,0,
system,data_type_families,name,String,1,,,0,0,0,,0,0,0,0,
system,data_type_families,case_insensitive,UInt8,2,,,0,0,0,,0,0,0,0,
system,data_type_families,alias_to,String,3,,,0,0,0,,0,0,0,0,
system,databases,name,String,1,,,0,0,0,,0,0,0,0,
system,databases,self,String,2,,,0,0,0,,0,0,0,0,
system,databases,data_path,String,3,,,0,0,0,,0,0,0,0,
system,databases,metadata_path,String,4,,,0,0,0,,0,0,0,0,
system,databases,uuid,UUID,5,,,0,0,0,,0,0,0,0,
system,detached_parts,database,String,1,,,0,0,0,,0,0,0,0,
system,detached_parts,table,String,2,,,0,0,0,,0,0,0,0,
system,detached_parts,partition_id,Nullable(String),3,,,0,0,0,,0,0,0,0,
system,detached_parts,name,String,4,,,0,0,0,,0,0,0,0,
system,detached_parts,disk,String,5,,,0,0,0,,0,0,0,0,
system,detached_parts,reason,Nullable(String),6,,,0,0,0,,0,0,0,0,
system,detached_parts,min_block_number,Nullable(Int64),7,,,0,0,0,,0,0,0,0,
system,detached_parts,max_block_number,Nullable(Int64),8,,,0,0,0,,0,0,0,0,
system,detached_parts,level,Nullable(UInt32),9,,,0,0,0,,0,0,0,0,
system,dictionaries,database,String,1,,,0,0,0,,0,0,0,0,
system,dictionaries,name,String,2,,,0,0,0,,0,0,0,0,
system,dictionaries,uuid,UUID,3,,,0,0,0,,0,0,0,0,
system,dictionaries,status,"Enum8('NOT_LOADED' = 0, 'LOADED' = 1, 'FAILED' = 2, 'LOADING' = 3, 'FAILED_AND_RELOADING' = 4, 'LOADED_AND_RELOADING' = 5, 'NOT_EXIST' = 6)",4,,,0,0,0,,0,0,0,0,
system,dictionaries,origin,String,5,,,0,0,0,,0,0,0,0,
system,dictionaries,type,String,6,,,0,0,0,,0,0,0,0,
system,dictionaries,key,String,7,,,0,0,0,,0,0,0,0,
system,dictionaries,attribute.names,Array(String),8,,,0,0,0,,0,0,0,0,
